Pool 1_Pool 1 all,Pool 2_Pool 2 all,Pool 3_Pool 3 all,Pool 4_Pool 4 all
1650.0,900.0,300.0,150.0
3122.46305499,4284.53935994,350.310467835,528.831810696
3903.83700026,5465.60545659,463.322583908,731.165891314
4053.10545525,5386.33711879,611.708589004,827.766564721
4179.03013862,5336.36400594,758.286272544,919.132626196
4298.73328841,5332.38502167,893.494704296,1006.95526705
4399.52871463,5337.46168848,1013.47422244,1086.50777402
4481.36684337,5341.55592573,1117.67169508,1156.23958509
4546.99643941,5342.62622261,1206.98461367,1216.20941633
4599.28283554,5340.79168619,1282.84410748,1267.1531958
4640.72025095,5336.7159013,1346.82770075,1310.05413479
4673.38872137,5331.11172594,1400.48564365,1345.94120406
4698.99956365,5324.59286039,1445.26143245,1375.79628867
4718.9529527,5317.64221437,1482.45860758,1400.51442254
4734.39058791,5310.61947267,1513.23156305,1420.89028488
4746.24052353,5303.78017638,1538.58889696,1437.61769786
4755.25462327,5297.2963507,1559.40306742,1451.29539647
4762.03973748,5291.2752477,1576.42288465,1462.43557621
4767.0836543,5285.77523005,1590.28690127,1471.47337864
4770.7767001,5280.81874299,1601.53663089,1478.77634748
4773.42970017,5276.40265187,1610.62902525,1484.65336126
4775.28888198,5272.50631961,1617.94792975,1489.3628095
4776.54820511,5269.09780339,1623.81440634,1493.11992502
4777.35952645,5266.1385187,1628.49591036,1496.1032657
4777.84094776,5263.5866753,1632.2143636,1498.46038337
4778.08364192,5261.39974375,1635.15319642,1500.3127394
4778.15741087,5259.53616796,1637.46344638,1501.75993734
4778.1151905,5257.95650015,1639.26900681,1502.88334508
4777.9966851,5256.62410038,1640.67111821,1503.74917786
4777.83128566,5255.5055142,1641.75219186,1504.4111093
4777.64040155,5254.57061756,1642.57904906,1504.91247243
4777.43931385,5253.79259814,1643.205653,1505.28810712
4777.23864057,5253.14782633,1643.67540242,1505.56590399
4777.04548823,5252.61565573,1644.02304948,1505.76808964
4776.8643514,5252.17818305,1644.27629675,1505.91229221
4776.69781049,5251.81998892,1644.45712178,1506.01242131
4776.54706892,5251.52787502,1644.58287137,1506.07939201
4776.41236326,5251.29060797,1644.66716208,1506.12171812
4776.29327312,5251.09867698,1644.72061847,1506.14599645
4776.18895279,5250.94406925,1644.75147588,1506.15730068
4776.09830189,5250.82006548,1644.76607077,1506.15950031
4776.02008903,5250.72105603,1644.76923789,1506.15551791
4775.95303945,5250.64237773,1644.76463079,1506.14753577
4775.89589535,5250.58017029,1644.75497928,1506.13716115
4775.84745572,5250.53125101,1644.74229536,1506.12555782
4775.80660101,5250.4930064,1644.72803722,1506.11355022
4775.77230672,5250.46329895,1644.71323915,1506.10170555
4775.74364908,5250.44038739,1644.69861392,1506.09039814
4775.71980521,5250.422859,1644.68463305,1506.07985944
4775.7000496,5250.40957231,1644.67158929,1506.07021684
4775.68374819,5250.39960893,1644.65964504,1506.06152333
4775.67035119,5250.39223318,1644.64886938,1506.05378014
4775.6593851,5250.38685843,1644.63926642,1506.04695375
4775.6504447,5250.38301916,1644.63079652,1506.04098857
4775.64318517,5250.38034785,1644.62339217,1506.03581619
4775.63731466,5250.37855594,1644.61696961,1506.03136215
4775.63258733,5250.37741824,1644.61143722,1506.02755054
4775.62879708,5250.37676017,1644.60670143,1506.0243073
4775.62577193,5250.37644737,1644.60267073,1506.02156222
4775.62336894,5250.37637731,1644.59925829,1506.01925025
4775.6214698,5250.37647248,1644.59638358,1506.01731214
4775.61997702,5250.37667497,1644.59397319,1506.01569466
4775.61881056,5250.37694208,1644.59196112,1506.01435054
4775.61790499,5250.37724285,1644.59028877,1506.01323823
4775.61720701,5250.37755531,1644.58890455,1506.01232149
4775.6166734,5250.37786432,1644.58776348,1506.01156896
4775.61626925,5250.37815985,1644.58682663,1506.01095371
4775.61596648,5250.37843567,1644.58606053,1506.0104527
4775.6157426,5250.3786883,1644.58543655,1506.01004636
4775.61557969,5250.37891627,1644.58493039,1506.00971818
4775.61546355,5250.37911946,1644.58452149,1506.00945423
4775.61538294,5250.37929871,1644.58419256,1506.00924288
4775.61532906,5250.37945543,1644.58392912,1506.00907443
4775.61529505,5250.37959138,1644.5837191,1506.00894081
4775.61527559,5250.3797085,1644.58355247,1506.00883538
4775.61526657,5250.37980877,1644.58342095,1506.00875264
4775.61526489,5250.37989412,1644.58331772,1506.00868811
4775.61526819,5250.37996638,1644.58323717,1506.00863811
4775.6152747,5250.38002726,1644.58317475,1506.00859966
4775.61528313,5250.38007831,1644.58312672,1506.00857034
4775.61529255,5250.38012093,1644.58309009,1506.00854821
4775.61530228,5250.38015635,1644.58306241,1506.00853168
4775.61531187,5250.38018567,1644.58304174,1506.00851951
4775.61532103,5250.38020985,1644.5830265,1506.00851071
4775.61532956,5250.3802297,1644.58301547,1506.00850448
4775.61533736,5250.38024593,1644.58300765,1506.00850019
4775.61534439,5250.38025915,1644.58300226,1506.00849737
4775.61535066,5250.38026988,1644.58299871,1506.00849563
4775.61535618,5250.38027854,1644.5829965,1506.00849467
